district_id,district_name,low_district_name
582,Adilabad,adilabad
320,Agar,agar
796,Agatti Island,agatti island
622,Agra,agra
154,Ahmedabad,ahmedabad
770,Ahmedabad Corporation,ahmedabad corporation
391,Ahmednagar,ahmednagar
425,Aizawl East,aizawl east
426,Aizawl West,aizawl west
507,Ajmer,ajmer
364,Akola,akola
301,Alappuzha,alappuzha
623,Aligarh,aligarh
710,Alipurduar District,alipurduar district
357,Alirajpur,alirajpur
704,Almora,almora
512,Alwar,alwar
193,Ambala,ambala
625,Ambedkar Nagar,ambedkar nagar
626,Amethi,amethi
366,Amravati,amravati
174,Amreli,amreli
485,Amritsar,amritsar
627,Amroha,amroha
179,Anand,anand
9,Anantapur,anantapur
224,Anantnag,anantnag
445,Angul,angul
22,Anjaw,anjaw
334,Anuppur,anuppur
779,Aranthangi,aranthangi
74,Araria,araria
158,Aravalli,aravalli
555,Ariyalur,ariyalur
78,Arwal,arwal
354,Ashoknagar,ashoknagar
578,Attur,attur
628,Auraiya,auraiya
77,Aurangabad,aurangabad
397,Aurangabad ,aurangabad 
646,Ayodhya,ayodhya
629,Azamgarh,azamgarh
294,BBMP,bbmp
630,Badaun,badaun
270,Bagalkot,bagalkot
707,Bageshwar,bageshwar
631,Baghpat,baghpat
632,Bahraich,bahraich
46,Baksa,baksa
338,Balaghat,balaghat
448,Balangir,balangir
633,Balarampur,balarampur
447,Balasore,balasore
634,Ballia,ballia
110,Balod,balod
111,Baloda bazar,baloda bazar
112,Balrampur,balrampur
159,Banaskantha,banaskantha
635,Banda,banda
223,Bandipore,bandipore
276,Bangalore Rural,bangalore rural
265,Bangalore Urban,bangalore urban
83,Banka,banka
711,Bankura,bankura
519,Banswara,banswara
636,Barabanki,barabanki
225,Baramulla,baramulla
516,Baran,baran
637,Bareilly,bareilly
472,Bargarh,bargarh
528,Barmer,barmer
483,Barnala,barnala
47,Barpeta,barpeta
343,Barwani,barwani
712,Basirhat HD (North 24 Parganas),basirhat hd (north 24 parganas)
113,Bastar,bastar
638,Basti,basti
493,Bathinda,bathinda
384,Beed,beed
98,Begusarai,begusarai
264,Belgaum,belgaum
274,Bellary,bellary
114,Bemetara,bemetara
362,Betul,betul
687,Bhadohi,bhadohi
583,Bhadradri Kothagudem,bhadradri kothagudem
454,Bhadrak,bhadrak
82,Bhagalpur,bhagalpur
370,Bhandara,bhandara
508,Bharatpur,bharatpur
180,Bharuch,bharuch
175,Bhavnagar,bhavnagar
771,Bhavnagar Corporation,bhavnagar corporation
523,Bhilwara,bhilwara
351,Bhind,bhind
200,Bhiwani,bhiwani
99,Bhojpur,bhojpur
312,Bhopal,bhopal
272,Bidar,bidar
115,Bijapur,bijapur
639,Bijnour,bijnour
501,Bikaner,bikaner
219,Bilaspur,bilaspur
116,Bilaspur,bilaspur
713,Birbhum,birbhum
398,Bishnupur,bishnupur
